[FimsReadDemon             ; 0:03:02] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:03:04]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:03:04]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:03:04]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:03:04]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:03:04]Program End.
[FimsSendDemon             ; 0:05:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:05:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:05:06]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:05:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:05:06]Program End.
[FimsSendDemon             ; 0:08:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:08:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:08:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:08:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:08:02]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:08:02]Program End.
[FimsReadDemon             ; 0:13:09] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:13:11]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:13:11]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:13:11]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:13:11]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:13:11]Program End.
[FimsSendDemon             ; 0:18:04] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:18:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:18:06]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:18:06]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:18:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:18:06]Program End.
[FimsReadDemon             ; 0:23:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:23:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:23:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:23:07]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:23:07]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:23:07]Program End.
[FimsSendDemon             ; 0:28:04] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:28:06]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:28:07]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:28:07]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:28:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:28:07]Program End.
[FimsReadDemon             ; 0:33:03] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:33:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:33:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:33:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:33:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:33:05]Program End.
[FimsSendDemon             ; 0:35:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 0:35:07]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:35:09]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 0:35:09]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:35:09]Program End.
[FimsSendDemon             ; 0:38:01] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:38:02]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:38:02]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:38:02]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:38:03]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:38:03]Program End.
[FimsReadDemon             ; 0:43:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:43:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:43:07]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:43:08]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:43:08]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:43:08]Program End.
[FimsSendDemon             ; 0:48:04] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:48:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:48:06]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:48:06]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:48:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:48:06]Program End.
[FimsReadDemon             ; 0:53:05] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 0:53:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 0:53:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 0:53:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 0:53:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 0:53:06]Program End.
[FimsSendDemon             ; 0:58:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 0:58:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 0:58:05]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 0:58:05]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 0:58:05]METS Db Dis_Conn !! 
[FimsSendDemon             ; 0:58:05]Program End.
[FimsReadDemon             ; 1:03:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:03:05]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:03:05]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:03:05]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:03:05]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:03:05]Program End.
[FimsSendDemon             ; 1:05:03] SKT FIMS INF SEND DEMON START >>>>> 
[FimsSendDemon             ; 1:05:06]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:05:07]1번>>>> 납품지시내역 신규 데이터 없음
[FimsSendDemon             ; 1:05:07]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:05:07]Program End.
[FimsSendDemon             ; 1:08:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:08:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:08:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:08:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:08:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:08:04]Program End.
[FimsReadDemon             ; 1:13:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:13:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:13:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:13:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:13:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:13:06]Program End.
[FimsSendDemon             ; 1:18:03] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:18:04]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:18:04]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:18:04]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:18:04]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:18:04]Program End.
[FimsReadDemon             ; 1:23:04] SKT FIMS INF READ DEMON START >>>>> 
[FimsReadDemon             ; 1:23:06]METS Db CONNECTION !! 
[FimsReadDemon             ; 1:23:06]2번>>>> 자재 수량 분배 신규 데이터 없음.
[FimsReadDemon             ; 1:23:06]5번>>>> 인수 승인 신규 데이터 없음.
[FimsReadDemon             ; 1:23:06]METS Db Dis_Conn !! 
[FimsReadDemon             ; 1:23:06]Program End.
[FimsSendDemon             ; 1:28:04] SKT FIMS INF 10MIN SEND DEMON START >>>>> 
[FimsSendDemon - 10min     ; 1:28:05]METS Db CONNECTION !! 
[FimsSendDemon             ; 1:28:06]3번>>>> 제조사 배송 정보 신규 데이터 없음
[FimsSendDemon             ; 1:28:06]4번>>>> 제조사 배송 내역 신규 데이터 없음
[FimsSendDemon             ; 1:28:06]METS Db Dis_Conn !! 
[FimsSendDemon             ; 1:28:06]Program End.
